# Verification of campaign reproduction: archived value vs re-fit under 3d7f883,
# env/Manifest.toml (MathOptInterface 1.48.0), seeded sample, seed 20260828.
# Produced by scripts/verify_reproduction.jl. See REPRODUCE.md section 3.
freq,braco,series,smape_gravado,smape_refeito,delta,ordem_gravada,ordem_refeita,status
monthly,mae_pen,29627,1.9004,1.8164,-0.084,"0,1,0,1,0,2","0,1,0,2,0,1","OK"
monthly,mae_pen,38961,1.1589,1.7005,0.5416,"3,0,4,0,1,1","2,0,0,2,1,1","OK"
monthly,mae_pen,24463,2.7349,2.7338,-0.0011,"0,1,1,2,0,0","0,1,1,2,0,0","OK"
monthly,mae_pen,10442,2.0209,2.0209,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,mae_pen,21134,2.6123,6.7267,4.1144,"1,1,1,2,0,1","0,1,0,1,0,1","OK"
monthly,mae_pen,39301,6.8074,6.8074,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,mae_pen,6399,1.7199,1.5598,-0.1601,"1,0,0,2,1,0","2,0,0,2,1,1","OK"
monthly,mae_pen,70,14.8214,14.7108,-0.1106,"1,1,2,0,0,2","5,1,1,0,0,0","OK"
monthly,mae_pen,14202,7.2364,7.2364,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
monthly,mae_pen,10409,14.3126,9.3789,-4.9337,"1,0,2,0,1,1","4,0,0,0,1,1","OK"
monthly,mae_pen,28985,1.6058,1.6058,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,huber_pen,31171,5.3991,5.4003,0.0012,"0,1,1,1,0,0","0,1,1,1,0,0","OK"
monthly,huber_pen,21661,4.0558,4.1397,0.0839,"0,1,1,0,1,1","1,1,0,1,1,1","OK"
monthly,huber_pen,31108,7.6193,7.6908,0.0715,"0,1,1,0,0,2","0,1,1,0,0,2","OK"
monthly,huber_pen,29661,3.251,4.3536,1.1026,"3,1,0,1,0,0","2,1,2,1,0,0","OK"
monthly,huber_pen,27682,1.1891,1.1891,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,huber_pen,15861,3.0998,2.1881,-0.9117,"0,2,1,0,0,2","4,2,1,2,0,1","OK"
monthly,huber_pen,34439,21.2725,21.6196,0.3471,"1,1,3,0,0,0","0,1,2,0,0,0","OK"
monthly,huber_pen,36333,88.2051,80.4935,-7.7116,"1,2,2,0,0,0","3,2,2,0,0,0","OK"
monthly,huber_pen,5403,1.2988,1.2963,-0.0025,"0,1,1,2,0,0","0,1,1,2,0,0","OK"
monthly,huber_pen,35914,6.9357,10.0107,3.075,"2,1,1,2,0,0","0,1,1,2,0,0","OK"
monthly,huber_pen,25401,2.2758,2.2544,-0.0214,"1,1,1,1,0,1","1,1,1,2,0,0","OK"
monthly,huber_pen,2642,0.609,1.3059,0.6969,"0,2,1,1,0,1","0,2,1,0,0,2","OK"
monthly,huber_pen,5445,11.4003,12.4686,1.0683,"1,1,1,2,0,0","1,1,1,2,0,0","OK"
monthly,huber_pen,6127,30.3979,26.3724,-4.0255,"2,1,1,2,0,0","1,1,1,2,0,0","OK"
monthly,huber_pen,7851,28.4913,28.4913,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,huber_pen,6597,24.157,25.7766,1.6196,"0,1,1,0,0,1","0,1,1,0,0,1","OK"
monthly,huber_pen,36230,14.4904,10.8914,-3.599,"2,1,2,2,0,0","3,1,2,0,0,0","OK"
monthly,huber_pen,5947,25.6053,26.0288,0.4235,"0,1,1,0,0,0","4,1,1,1,0,1","OK"
monthly,huber_pen,23642,5.5174,5.5859,0.0685,"0,1,1,1,0,1","0,1,1,0,0,2","OK"
monthly,huber_pen,2681,2.4956,2.4956,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,huber_pen,469,1.5422,1.524,-0.0182,"0,1,0,0,0,1","0,1,0,0,0,1","OK"
monthly,huber_pen,41103,2.3224,2.0925,-0.2299,"0,1,0,0,0,2","1,1,0,2,0,0","OK"
monthly,huber_pen,13086,1.5734,1.5734,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,huber_pen,18414,13.1953,18.8312,5.6359,"1,0,1,0,1,2","1,0,0,2,1,0","OK"
monthly,huber_pen,18943,13.3933,12.6434,-0.7499,"2,0,0,0,1,1","2,0,0,1,1,0","OK"
